﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.1768,2.1146,1.4757,1.2779
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.1521,2.1249,1.4779,1.2788
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.2862,2.1626,1.4871,1.283
2019-03-29,8533.62,27840038528473.598,20190897928607,1.3657,0.3666,2.1993,1.4941,1.2837
2019-02-28,8173.6,27271753122164.51,19702496046939,1.355,0.34,2.2144,1.4997,1.283
2019-01-31,7241.96,24663647514317.293,17856722928085,1.2255,0.1071,2.2305,1.5031,1.2865
2018-12-28,6808.8,23232683479691.6,16860871154517,1.1544,0.0255,2.2356,1.5087,1.2909
2018-11-30,7141,23396742753979.19,17128195017076,1.1678,0.0345,2.2456,1.516,1.2959
2018-10-31,7150.2,23975448021314.305,17472526979951,1.1968,0.0514,2.2486,1.5243,1.301
2018-09-28,7699.02,25476931893876.902,18663955116007,1.3399,0.2737,2.2519,1.5326,1.3037
2018-08-31,7371.18,24185338734084.082,17727486243242,1.2694,0.1356,2.2624,1.5417,1.3058
2018-07-31,7693.16,25013864979954.812,18371384472161,1.3389,0.2566,2.2743,1.5485,1.309
2018-06-29,7571.95,24370686129637.09,17915279936881,1.2849,0.1508,2.2871,1.5569,1.3117
2018-05-31,8148.46,25555196636274.902,18908437195238,1.3371,0.2422,2.3017,1.566,1.3124
2018-04-27,8075.31,25686040184212.8,18843897184680,1.3557,0.268,2.3212,1.5759,1.3127
2018-03-30,8304.42,26251378807402.594,19185121355701,1.4075,0.3258,2.3516,1.5874,1.3127
2018-02-28,8624.61,27544993494032.695,20058213898086,1.5019,0.4071,2.3716,1.6054,1.3127
2018-01-31,9269.75,29873679003462.305,21587839887089,1.6293,0.5045,2.4,1.6181,1.3127
2017-12-29,8647.03,27137940369331.004,19720503011429,1.4802,0.3822,2.4651,1.6342,1.3127
2017-11-30,8673.72,26529280156429.684,19387974319088,1.4604,0.3547,2.5229,1.6526,1.3127
2017-10-31,8592.63,26518893195558.105,19305141064308,1.4607,0.3539,2.5803,1.6823,1.3127
2017-09-29,8297.7,25707193814542.703,18719813851247,1.4949,0.3794,2.6236,1.7005,1.3127
2017-08-31,8359.33,25974387649316.6,18877494274537,1.504,0.3831,2.689,1.7181,1.3127
2017-07-31,8161.84,25289197220895.703,18375070530368,1.4826,0.3646,2.7781,1.7439,1.3127
2017-06-30,7900.35,24264006006600.305,17635547020096,1.3975,0.3152,2.8711,1.7576,1.3127
2017-05-31,7644.96,23406023584934.7,17334442225036,1.3574,0.2676,2.9037,1.7711,1.3127
2017-04-28,7438.38,22599670742440.1,16779350826486,1.3304,0.2246,2.9252,1.7868,1.3155
2017-03-31,7491.94,22612018227577.496,16838717117717,1.3602,0.2589,2.9935,1.807,1.3155
2017-02-28,7548.37,22675036806986.707,16871342471018,1.3808,0.27,3.051,1.8201,1.3155
2017-01-26,7459.74,22381661146437.6,16679292012770,1.3644,0.2594,3.1082,1.837,1.3155
2016-12-30,7224.6,21396228397296.4,15948065218091,1.308,0.1839,3.1304,1.8664,1.3155
2016-11-30,7635.95,22411936621621.2,16806489742249,1.348,0.2308,3.1447,1.9166,1.3181
2016-10-31,7169.72,21122758683460.094,15804854474076,1.2706,0.1312,3.1447,1.962,1.3221
2016-09-30,6958.5,20522553830614,15339359839170,1.2995,0.1625,3.1447,1.9821,1.3261
2016-08-31,7138.27,21060607450731.305,15744119566934,1.3337,0.2018,3.1422,2.0097,1.3325
2016-07-29,6913.5,20296271972718.51,15186778732436,1.3037,0.1644,3.1422,2.0485,1.3452
2016-06-30,6735.89,19877315099444.6,14873913952841,1.2535,0.1212,3.1422,2.0756,1.3594
2016-05-31,6823.75,19945235805155.105,15005994108165,1.242,0.1031,3.1422,2.0906,1.3813
2016-04-29,6799.63,19842937528862.2,14907666148710,1.2461,0.0987,3.1447,2.1136,1.3985
2016-03-31,6921.88,20217085877801.2,15185358780791,1.309,0.1447,3.1447,2.1136,1.4119
